perfume_id,brand,name,old_price,old_price_THB,new_price,new_price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings
426,DORALL COLLECTION,DC,29,957.87,9.3,307.179,100,EDT,Men,Floral,"Vetiver, Patchouli, Oakmoss, Musk, Sandalwood","Galbanum, Rosemary, Jasmine, Coumarin",4,B.A.G,4.2,14.1K
427,Juicy Couture,play around,355,11725.65,126.25,4170.0375,100,EDP,Women,Floral,"Caramel, Vanilla,, Patchouli","Princess lily, Tuberose, Wild Rose",4,Star.perfume,3.9,537
428,COACH,New York Platinum,11,363.33,7.9,260.937,2,EDP,Men,Oriental,"Patchouli, Vanilla Leather",Aromatic Accords,4.5,Princess of beauty,3.8,467
429,CAROLINA HERRERA,212 Vip,363,11989.89,160,5284.8,100,EDT,Men,Vanilla,"King Wood, Salty Amber, Tonka Beans","Chilled Vodka, Hot Ginger, Slice Of Apple",5,Al-Najm,3.7,347
430,Mercedes-Benz,Club Black,295,9743.85,185,6110.55,100,EDT,Women,Vanilla,"Ambroxan, Benzoin, Woodsy Notes, Vanilla","Jasmine, Incense",5,Parvant Store,3.8,76
431,TOMMY HILFIGER,Tommy Girl,380,12551.4,122.95,4061.0385,100,EDT,Women,Citrus,"Desert Jasmin, Cherokee Rose, Magnolia Petals, Dakota Lilies, Cedar, Sandalwood, Wild Heather","Grapefruit, Citrus Orchards, Crisp Green Notes, Honeysuckle, Butterfly Violets",4.4,Parvant Store,4.2,76
432,Guerlain,Vetiver,426,14070.78,174,5747.22,100,EDT,Men,Aromatic,"Vetiver, Oakmoss, Leather, Myrrh, Civet, Tonka Bean, Amber","Vetiver, Pepper, Carnation, Sage, Orris Root, Sandalwood",5,Nawaem_perfumes,3.9,69
433,Dior,Sauvage,430,14202.9,208.25,6878.4975,100,EDT,Men,Spicy,"Cedar, Ambroxan","Geranium,Lavender,Elemi, Pink Pepper, Patchouli,Vetiver",5,Parfume-Stor,3.8,66
434,Shirley May,Darknet Pour Homme,11.5,379.845,11.5,379.845,100,EDT,Men,Woody,"Musk, Moss","Anise, Cardamom, Cinnamon",3,Beauty Gallery,3.7,59
435,PACO RABANNE,Lady Million,420,13872.6,158,5218.74,80,EDP,Women,Floral,"Patchouli, White Honey, Amber","Jasmine, African Orange Flower, Gardenia",4.7,عالم المشاهير,4.2,7
436,CARTIER,La Panthere,695,22955.85,235.85,7790.1255,75,EDP,Women,Fruity,"Oakmoss, Musk, Patchouli, Leather","Gardenia, Rose, Ylang-Ylang, Orange Blossom, Pear",4.7,noon,4.2,98.1K
437,DAVIDOFF,The Game,147,4855.41,77,2543.31,100,EDT,Men,Woody,Ebony Wood,"Iris, Woody Notes",5,Cute Shop,4.2,98.1K
438,PACO RABANNE,Ultraviolet,353,11659.59,165,5449.95,100,EDT,Men,Woody,"Indonesian Patchouli, Oakmoss","Tanzanian Black Pepper, Ambergris",4.4,Star.perfume,3.9,537
439,Shirley May,Black Car,21,693.63,9.95,328.6485,100,EDT,Men,Citrus,"Amber, palisander rosewood","Cedar, spicy notes",4.5,Beautify,3.6,528
440,Ard Al Zaafaran,Oud Sharqia,65,2146.95,18.4,607.752,80,EDP,Unisex,Arabian,Sweet Wood,Citric,4.4,King-Perfume,3.6,450
441,Guerlain,Santal Royal,768,25367.04,406,13410.18,125,EDP,Unisex,Arabian,"Sandalwood, Leather note, Amber notes, Oud, Muscs note","Peach, Rose, Cinnamon",5,top langri,3.7,347
442,GUESS,Marciano,150,4954.5,80.7,2665.521,100,EDT,Men,Spicy,"Woody, Spicy","Spicy, Lavenday, Sage",4.7,AMLAQ,3.9,135
443,Estee Lauder,Modern Muse Nuit,615,20313.45,284.8,9406.944,100,EDP,Women,Floral,"Vanilla, Amber, Patchouli, Sandalwood","Heliotrope, Chamomile, Chinese Jasmine",5,AMLAQ,3.9,135
444,BURBERRY,My Burberry,699,23087.97,226.65,7486.2495,90,EDP,Women,Floral,"Oined with Damascus, Centifolia Rose","Freesia Flowers, Golden Quince",5,AMLAQ,3.9,135
445,Rasasi,Hatem,129,4260.87,69.25,2287.3275,75,EDP,Unisex,Spicy,"Woody, Aandal, Cedar Wood, Musk","Jasmine, Rose",5,Instant,3.7,44
446,LACOSTE,Joy Of Pink,427,14103.81,113.95,3763.7685,90,EDT,Women,Floral,"Musk, vanilla","Jasmine, carrot,, spicy coriander",4.4,Kado Store,4.3,23
447,LALIQUE,Le'Parfum,143,4723.29,143,4723.29,100,EDP,Women,Oriental,"Sandalwood, Tonka Bean, Patchouli, Vanilla","Jasmine, Heliotrope",4.4,Beautiful Live,412,7
448,GUCCI,Memoire  D'une Odeur EDP For Uni,530,17505.9,349.95,11558.8485,100,EDP,Unisex,Fresh,"Sandalwood, Cedar, Vanilla","Coral Jasmine, Jasmine Petals, Musks",5,noon,4.2,98.1K
449,VERSACE,Versace,216,7134.48,137.45,4539.9735,100,EDP,Women,Fruity,"Musk, Grey Amber, Inoki Wood","Lotus, Plum, Raspberry, Lebanese Blue Cedar",4.4,noon,4.2,98.1K
450,DORALL COLLECTION,Oud Wood,19,627.57,9.9,326.997,100,PDT,Unisex,Citrus,"Cedar, tobacco, patchouli, sandalwood, musk","Geranium, marigold, rose, bay leaves",4.3,B.A.G,4.2,14.1K
451,HUGO BOSS,The Scent,426,14070.78,135,4459.05,100,EDT,Men,Spicy,"Leather, Woody Notes","Lavender, Maninka",3.6,Perfume Ms,3.7,537
452,CHOPARD,Casmir,292,9644.76,94.9,3134.547,100,EDP,Women,Vanilla,"Amber, Woods, Musk, Patchouli, Sandalwood, Vanilla","Geranium, Jasmine, Lily-Of-The-valley",4.5,King-Perfume,3.9,450
453,CAROLINA HERRERA,212 Sexy,420,13872.6,151,4987.53,100,EDP,Women,Floral,"Cotton Candy,Musk,Sandalwood,Vanilla","Gardenia,Geranium",4.7,Al-Najm,3.7,347
454,Guerlain,L'instant,722,23847.66,262.9,8683.587,100,EDP,Women,Vanilla,"Vanilla, Benzoin, Musk, Amber","Magnolia, Sambac Jasmine, Ylang-Ylang, Iris",4.2,Abu Al Tayyeb Perfumes,3.7,347
455,BVLGARI,Rose Essentielle,533,17604.99,274.9,9079.947,100,EDP,Women,Floral,"Sandalwood, Patchouli","Blackberry Are Softened With Delicate Violet, Jasmine Trace",5,Perfume Ports,3.9,135
456,Parfums Gres,Cabotine De Gres,110,3633.3,78,2576.34,100,EDP,Women,Floral,"Patchouli, Sandalwood, Musk","Ginger, Lily, Tubereuse, Wild Hyacinth",4.5,Nawaem_perfumes,3.9,69
457,Lancome,Magie Noire L'eau,401,13245.03,401,13245.03,75,EDT,Women,Woody,"Amber, Sandalwood, Patchouli","Jasmine, Ylang-Ylang",4.6,Banorama,3.5,63
458,LOEWE,Esencia Pour Homme,514,16977.42,177,5846.31,150,EDT,Men,Woody,"Tonka Bean, Leather, Sandalwood, Fir, Amber, Patchouli, Musk, Oakmoss, Vetiver, Cedar, Styrax","Clary Sage, Nutmeg, Basil, Jasmine, Neroli, Lily-of-the-valley, Rose, Pine Tree Needles, Geranium, Black Currant",5,Pinch Of Perfum,3.5,32
459,Calvin Klein,CK Be,125,4128.75,110,3633.3,200,EDT,Unisex,Spicy,"Sandalwood, Amber, Cedar, Oakmoss","Green Grass, Magnolia, Orchid, Freesia, Peach, Jasmine",5,Abu Al Tayyeb Perfumes,4.2,7
460,HUGO BOSS,Boss,375,12386.25,105,3468.15,100,EDT,Men,Woody,"Sandalwood, Vetiver, Cedarwood, Vanilla","Geranium, Cinnamon, Cloves",4.7,Acacia Rose,4.8,77
461,Marc Jacobs,Daisy Eau So Fresh,330,10899.9,179.4,5925.582,125,EDT,Women,Fruity,"Musk, Plum, Cedarwood","Violet, Wild Rose, Apple Blossom, Lychee, Jasmine Petals",5,noon,4.2,98.1K
462,MONTBLANC,Legend,342,11296.26,108.5,3583.755,100,EDT,Men,Spicy,"Sandalwood, Tonka Bean","Coumarin, Oak Moss, Geranium, Rose, Apple, Dried Fruit",4.7,Perfume Ms,4.1,98
463,COACH,New York Coach Dreams,310,10239.3,201.75,6663.8025,90,EDP,Women,Floral,"Joshua Tree, Ambroxan","Gardenias, Cactus Flowers",4,noon,4.2,98.1K
