perfume_id,brand,name,img_url,old_price,new_price,price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,,,THB,min_price,max_price,,,,
68,YSL,Supreme Bouquet,https://m.media-amazon.com/images/I/71vSd6t0E2L._AC_SX425_.jpg,1215,699,23164.86,75,EDP,Unisex,Woody,"Amber, Musk, Patchouli","Tuberose, Jasmine, Ylang-Ylang",5,PARFUM.1990,3.5,244,,,,,,,,,
69,TOMMY HILFIGER,Tommy,https://m.media-amazon.com/images/I/51lPNm-kt6L._AC_UL480_FMwebp_QL65_.jpg,340,129,4275.06,100,EDT,Men,Spicy,"Amber, Cactus, Cotton","Cranberry, Rose, Apple",4.4,AMLAQ,3.9,135,,,,,,,,,
70,RALPH LAUREN,Safari,https://m.media-amazon.com/images/I/617wpQO1hxL._AC_UL480_FMwebp_QL65_.jpg,541,178,5898.92,125,EDT,Men,Woody,"Leather, Sandalwood, Amber, Patchouli, Musk, Oakmoss, Cedar","Cyclamen, carnation, cinnamon, tarragon, jasmine, rose",3.5,Pinch Of Perfum,3.5,75,,,,,,,,,
71,EMPORIO ARMANI,Stronger With You,https://m.media-amazon.com/images/I/71Eegdz3JtL._AC_UL480_FMwebp_QL65_.jpg,415,175.85,5827.669,100,EDT,Men,Floral,"Amber, Cedar, Chestnut, Vanilla","Melon, Pineapple, Sage",4.5,flower,3.8,66,,,,,,,,,
72,TED LAPIDUS,Rumba Passion Ted Lapidus,https://m.media-amazon.com/images/I/61hg+dHEKdL._AC_UL480_FMwebp_QL65_.jpg,140,95,3148.3,100,EDT,Women,Floral,"Patchouli, Vanilla, Honey","Jasmine, Rose",5,Beauty Gallery,3.7,59,,,,,,,,,
73,HUGO BOSS,Dark Blue,https://image.makewebcdn.com/makeweb/m_1920x0/2q1fSqVKm/1product/0387.jpg?v=202405291424,159,129,4275.06,75,EDT,Men,Citrus,"Benzoin, Olibanum, Patchouli, Suede","Pelargonium, Cypress, Sage",4.5,Diorworld,3.6,30,,,,,,,,,
74,BOUCHERON,Quatre,https://m.media-amazon.com/images/I/61HAZIZD0fL._AC_UL480_FMwebp_QL65_.jpg,462,169.75,5625.515,100,EDP,Women,Floral,"Caramel, Cashmere Wood, Vanilla, White Musk","Apple, Jasmine, Fishing, Rose",4.9,noon,4.2,98.1K,,,,,,,,,
75,DORALL COLLECTION,Molto Carina,https://m.media-amazon.com/images/I/71kDVqFM3UL._AC_UL480_FMwebp_QL65_.jpg,27,8.55,283.347,100,EDT,Women,Woody,"Musk, Lactone, Amber","Tropical Fruits, Peach, Jasmin, Water",4,B.A.G,3.7,14.1K,,,,,,,,,
76,armani,Stronger With You Intensely,https://m.media-amazon.com/images/I/71Eegdz3JtL._AC_UL480_FMwebp_QL65_.jpg,457,336,11135.04,100,EDP,Men,"Sweet, Aromatic",Amber,Vanilla,4.8,flower,3.9,537,,,,,,,,,
77,PACO RABANNE,1 Million,https://m.media-amazon.com/images/I/61YHLQAz21L._AC_UL480_FMwebp_QL65_.jpg,395,173,5733.22,100,EDT,Men,Woody,"Indian Patchouli, Amber, Woody, Leather","Rose absolute, Musk, cinnamon bark",3.8,Al-Najm,3.7,347,,,,,,,,,
78,VALENTINO,Valentina,https://image-optimizer-th.production.sephora-asia.net/images/product_images/closeup_3614272731929_Valentina_c7a708b0c7d555d7f75f232df03d8e5e40a283b8_1650209848.png,500,241,7986.74,80,EDP,Women,Floral,"Cedar,Vanilla,Amber","Strawberry,Tuberose,African Orange Flower,Jasmine",5,top langri,3.7,347,,,,,,,,,
79,Ard Al Zaafaran,Oud 24 Hours,https://fimgs.net/mdimg/perfume/375x500.42090.jpg,47,47,1557.58,100,EDP,Unisex,Fresh,"Amber, Incense, Sandalwood, Patchouli, Agarwood (oud)","Spicy Notes, Fruity Notes, Jasmine, Gardenia, Ylang-ylang",4,Attractive perfume,3.5,244,,,,,,,,,
80,DKNY,Be Delicious,https://m.media-amazon.com/images/I/71-IrlR0XeL._AC_UL480_FMwebp_QL65_.jpg,185,148.35,4916.319,100,EDP,Women,Floral,"Amber, Woody","Apple, Tuberose, White Muguet, Rose, Violet",4.8,AMLAQ,3.9,135,,,,,,,,,
